Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
855,Schoharie County Health Department,DTC,Diagnostic and Treatment Center,09/27/1979,284 Main Street,,Schoharie,New York,12157,5182958365,,,47,Schoharie,4,Capital District Regional Office,,,4724200R,Schoharie County,Main Street,,Schoharie,New York,12157,,,,,New York,,County,42.663641,-74.312004,"(42.663641, -74.312004)"
1841,The Valley View Certified Home Health Agency,CHHA,Certified Home Health Agency,09/27/1979,2 Glenmere Cove Road,,Goshen,New York,10924,8452912330,8452912380,,35,Orange,6,Metropolitan Area Regional Office - New Rochelle,,,3523600,Orange County,255 Main Street,,Goshen,New York,10924,,,,,New York,,County,41.355572,-74.367392,"(41.355572, -74.367392)"
3044,Brooklyn Plaza Medical Center,DTC,Diagnostic and Treatment Center,09/27/1979,650 Fulton Street,,Brooklyn,New York,11217,7185969896,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,7001250R,Brooklyn Plaza Medical Center,50 Greene Avenue,,Brooklyn,New York,11238,,,,,New York,,Not for Profit Corporation,40.687092,-73.97654,"(40.687092, -73.97654)"
3721,Samaritan Health Service University,DTC-EC,Diagnostic and Treatment Center Extension Clinic,05/28/1999,1381 University Ave,,Bronx,New York,10452,7182062000,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,Damian Family Care Center,6067,7003246R,Schenectady County,Unknown,,Scotia,New York,12302,,,,,New York,,County,40.842339,-73.926102,"(40.842339, -73.926102)"
3770,"Neighborhood Health Center of WNY, Inc.",DTC,Diagnostic and Treatment Center,07/10/1987,155 Lawn Avenue,,Buffalo,New York,14207,7168752904,,,14,Erie,1,Western Regional Office - Buffalo,,,1401219R,"Neighborhood Health Center of WNY, Inc.",155 Lawn Avenue,,Buffalo,New York,14207,,,,,New York,,Not for Profit Corporation,42.949883,-78.888382,"(42.949883, -78.888382)"
4242,Lewis County General Hospital Hospice,HSPC,Hospice,03/23/1990,7785 North State Street,,Lowville,New York,13367,3153765308,3153765435,,24,Lewis,3,Central New York Regional Office,,,2424500F,Lewis County,Court House,,Lowville,New York,13367,,,,,New York,,County,43.795677,-75.498146,"(43.795677, -75.498146)"
4424,HSS Dana Center,HOSP-EC,Hospital Extension Clinic,12/07/1990,510 East 73rd Street,,New York,New York,10021,2126061236,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Hospital for Special Surgery,1447,7002012H,NY Society for the Relief of The Ruptured & Crippled,535 East 70th St,,New York,New York,10021,,,,,New York,,Not for Profit Corporation,40.767101,-73.952354,"(40.767101, -73.952354)"
4767,Mountain Health Center,HOSP-EC,Hospital Extension Clinic,11/24/1992,Route 73,,Keene,New York,12942,5188914141,,,15,Essex,4,Capital District Regional Office,Adirondack Medical Center-Saranac Lake Site,324,1623001H,Adirondack Medical Center,Lake Colby Drive,,Saranac Lake,New York,12983,,,,,New York,,Not for Profit Corporation,44.256381,-73.793573,"(44.256381, -73.793573)"
4960,Monroe Co Dept of Health Clinics,DTC-EC,Diagnostic and Treatment Center Extension Clinic,08/01/1994,819 West Main Street,,Rochester,New York,14611,5857535071,5857535188,,27,Monroe,2,Western Regional Office - Rochester,Monroe County Department of Health Clinics,422,2701215R,Monroe County,111 Westfall Road,,Rochester,New York,14692,,,,,New York,,County,,,
6165,"Marquis Certified Home Care, LLC",CHHA,Certified Home Health Agency,04/12/2000,1762 Central Avenue,,Albany,New York,12205,5182160100,5182160111,,1,Albany,4,Capital District Regional Office,,,124600,"Marquis Certified Home Care, LLC",230 North Main Street,,Spring Valley,New York,10977,,,,,New York,,LLC,42.727281,-73.844998,"(42.727281, -73.844998)"
